,ticker,abstract,title,url,date,neg,neu,pos,compound
37,ARCC,"""We are seeing more sophisticated type of fraud moving into the online environment,"" said Erika Dietrich, global director of payments risk management at fraud fighter ACI Worldwide.",Credit-Card Thieves Move Online as Chips Thwart In-Store Fraud,https://www.bloomberg.com/news/articles/2017-02-01/credit-card-thieves-move-online-as-chips-thwart-in-store-fraud,2/1/17,0.504,0.496,0,-0.7964
38,ARCC,Supervisory agency to ensure frauds are not repeated: Jaitley. India's authorities Tuesday expanded a crackdown to contain the fallout from the biggest banking fraud to hit the nation.,"As Fraud Prompts Arrests, India Forms Panel to Avoid Scams",https://www.bloomberg.com/news/articles/2018-02-20/bank-fraud-prompts-india-to-set-up-panel-to-prevent-scams,2/20/18,0.679,0.321,0,-0.9136
42,AXP,"A digital currency could fundamentally change the way Americans use money, leading some financial firms to lobby the Fed and Congress to slow its creation -- or at least ensure they're not cut out.",Federal Reserve's Digital Dollar Push Worries Wall Street - Bloomberg,https://www.bloomberg.com/news/articles/2021-03-22/federal-reserve-s-digital-dollar-momentum-worries-wall-street,3/22/21,0.259,0.741,0,-0.4215
43,AXP,Check fraud dwarfs other forms of bank fraud (table). With Americans writing some 60 billion The amounts of money involved in check frauds are rising as well. Rasor tells the story of a case dubbed...,"Bank Fraud, The Old Fashioned Way - Bloomberg",https://www.bloomberg.com/news/articles/1995-09-03/bank-fraud-the-old-fashioned-way,9/3/95,0.388,0.612,0,-0.5859
44,AXP,"Could an American company loot its pension funds, as Robert Maxwell is alleged to have done in Britain? The government has erected legal barriers, but they don't keep companies from trying.",Pension Fraud: Can It Happen Here? You Bet - Bloomberg,https://www.bloomberg.com/news/articles/1991-12-22/pension-fraud-can-it-happen-here-you-bet,12/22/91,0.322,0.678,0,-0.5859
46,AXP,"Hello, Fraud Suits. New federal legislation isn't stopping class actions. The legislation was supposed to put an end, once and for all, to the plague of shareholder lawsuits pestering American companies.","Bye, Fraud Suits. Hello, Fraud Suits - Bloomberg",https://www.bloomberg.com/news/articles/1996-06-23/bye-fraud-suits-dot-hello-fraud-suits,6/23/96,0.603,0.397,0,-0.8225
50,BAC,"Borrower fraud doesn't mean lenders broke the rules of the program, and they haven't been Representatives for Cross River Bank and Celtic Bank didn't respond to multiple requests for comment.",PPP Loans: Scammers Used Fintech Companies to Carry Out Fraud,https://www.bloomberg.com/news/articles/2020-10-07/ppp-loans-scammers-used-fintech-companies-to-carry-out-fraud,10/7/20,0.297,0.703,0,-0.5859
51,BAC,"Foreign banks' reaction to the $2 billion fraud disclosed by Punjab National Bank two weeks ago, which allegedly involved fake letters of guarantee, is having an impact on financial markets.",Bank Fraud Fallout in India Spreads to Market for Trade... - Bloomberg,https://www.bloomberg.com/news/articles/2018-02-27/bank-fraud-fallout-in-india-spreads-to-market-for-trade-finance,2/27/18,0.275,0.725,0,-0.5859
52,BAC,Check fraud dwarfs other forms of bank fraud (table). With Americans writing some 60 billion checks a year and technology such as desktop publishing making fraud ever easier to commit...,"Bank Fraud, The Old Fashioned Way - Bloomberg",https://www.bloomberg.com/news/articles/1995-09-03/bank-fraud-the-old-fashioned-way,9/3/95,0.388,0.612,0,-0.5859
54,BAC,"If a bank asked for ID, Naskovets knew a guy who could e-mail a PDF of a fake driver's license in ""You can get life for two kilos of cocaine, but if you're going to get some bank fraud, OK, you're going...",An Identity Thief Explains the Art of Emptying Your Bank Account,https://www.bloomberg.com/news/articles/2015-07-15/an-identity-thief-explains-the-art-of-emptying-your-bank-account,7/15/15,0.357,0.643,0,-0.6124
55,BAC,"Finally a bank has been indicted for mortgage fraud. But why is it a tiny bank in New York's ""Mortgage fraud became institutionalized at Abacus Bank,"" District Attorney Cyrus Vance Jr. said at a...",Mortgage Fraud Prosecutors Pounce on a Small Bank - Bloomberg,https://www.bloomberg.com/news/articles/2013-01-31/mortgage-fraud-prosecutors-pounce-on-a-small-bank,1/31/13,0.352,0.648,0,-0.5859
56,BAC,Online banking fraud jumped by 55 per cent during the first six months of this year as criminals become even more sophisticated in their use of technology.,Online Banking Fraud Soars in Britain - Bloomberg,https://www.bloomberg.com/news/articles/2009-10-08/online-banking-fraud-soars-in-britain,10/8/09,0.388,0.612,0,-0.5859
57,BAC,"Huawei Technologies Co. Chief Financial Officer Meng Wanzhou was charged with conspiracy to defraud banks and should not be granted bail because she may flee, a lawyer representing Canada...",Huawei CFO Charged With Conspiracy to Defraud Banks - Bloomberg,https://www.bloomberg.com/news/articles/2018-12-07/huawei-cfo-being-prosecuted-for-fraud-canada-lawyer-says,12/7/18,0.426,0.574,0,-0.6369
58,BAC,The banking fraud is expanding as more lenders disclose exposure to the allegedly illegal transactions by Modi. Punjab National Bank last week said it detected the fraud at a single branch in the nation's...,"As Fraud Prompts Arrests, India Forms Panel to Avoid Scams",https://www.bloomberg.com/news/articles/2018-02-20/bank-fraud-prompts-india-to-set-up-panel-to-prevent-scams,2/20/18,0.679,0.321,0,-0.9136
60,BHF,Denmark charged six more people with fraud as prosecutors move closer to completing a years-long hunt to track down a total of $2.1 billion allegedly stolen through a dividend-tax scam.,Denmark Charges 6 More People in $2.1 Billion Cum-Ex... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-13/denmark-charges-6-more-people-with-fraud-in-cum-ex-investigation,4/13/21,0.208,0.792,0,-0.2732
64,BHF,"For vendors, settlement would happen almost immediately, without having to wait for the money or worry about fraud. The U.S. effort got an extra push last month, when Treasury Secretary Janet...",Federal Reserve's Digital Dollar Push Worries Wall Street - Bloomberg,https://www.bloomberg.com/news/articles/2021-03-22/federal-reserve-s-digital-dollar-momentum-worries-wall-street,3/22/21,0.259,0.741,0,-0.4215
65,BHF,...the South African power utility's chief executive officer accusing its now-suspended chief procurement officer of facilitating 8 billion rand ($549 million) of deals with a company suspected of fraud.,Eskom CEO Hits Back at Official Who Accused Him of... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-09/eskom-ceo-hits-back-at-official-who-accused-him-of-racism,4/9/21,0.18,0.82,0,-0.296
67,BHF,"Fraud losses, however, have remained fairly stable over the past three years, totaling $16 billion last year. That's down from $22 billion in 2012, the researcher said. ""There's a great deal of investment...",Credit-Card Thieves Move Online as Chips Thwart In-Store Fraud,https://www.bloomberg.com/news/articles/2017-02-01/credit-card-thieves-move-online-as-chips-thwart-in-store-fraud,2/1/17,0.504,0.496,0,-0.7964
70,BK,"Borrower fraud doesn't mean lenders broke the rules of the program, and they haven't been Representatives for Cross River Bank and Celtic Bank didn't respond to multiple requests for comment.",PPP Loans: Scammers Used Fintech Companies to Carry Out Fraud,https://www.bloomberg.com/news/articles/2020-10-07/ppp-loans-scammers-used-fintech-companies-to-carry-out-fraud,10/7/20,0.297,0.703,0,-0.5859
71,BK,"Foreign banks' reaction to the $2 billion fraud disclosed by Punjab National Bank two weeks ago, which allegedly involved fake letters of guarantee, is having an impact on financial markets.",Bank Fraud Fallout in India Spreads to Market for Trade... - Bloomberg,https://www.bloomberg.com/news/articles/2018-02-27/bank-fraud-fallout-in-india-spreads-to-market-for-trade-finance,2/27/18,0.275,0.725,0,-0.5859
72,BK,Check fraud dwarfs other forms of bank fraud (table). With Americans writing some 60 billion checks a year and technology such as desktop publishing making fraud ever easier to commit...,"Bank Fraud, The Old Fashioned Way - Bloomberg",https://www.bloomberg.com/news/articles/1995-09-03/bank-fraud-the-old-fashioned-way,9/3/95,0.388,0.612,0,-0.5859
74,BK,"If a bank asked for ID, Naskovets knew a guy who could e-mail a PDF of a fake driver's license in ""You can get life for two kilos of cocaine, but if you're going to get some bank fraud, OK, you're going...",An Identity Thief Explains the Art of Emptying Your Bank Account,https://www.bloomberg.com/news/articles/2015-07-15/an-identity-thief-explains-the-art-of-emptying-your-bank-account,7/15/15,0.357,0.643,0,-0.6124
75,BK,"Finally a bank has been indicted for mortgage fraud. But why is it a tiny bank in New York's ""Mortgage fraud became institutionalized at Abacus Bank,"" District Attorney Cyrus Vance Jr. said at a...",Mortgage Fraud Prosecutors Pounce on a Small Bank - Bloomberg,https://www.bloomberg.com/news/articles/2013-01-31/mortgage-fraud-prosecutors-pounce-on-a-small-bank,1/31/13,0.352,0.648,0,-0.5859
76,BK,Online banking fraud jumped by 55 per cent during the first six months of this year as criminals become even more sophisticated in their use of technology.,Online Banking Fraud Soars in Britain - Bloomberg,https://www.bloomberg.com/news/articles/2009-10-08/online-banking-fraud-soars-in-britain,10/8/09,0.388,0.612,0,-0.5859
77,BK,"Huawei Technologies Co. Chief Financial Officer Meng Wanzhou was charged with conspiracy to defraud banks and should not be granted bail because she may flee, a lawyer representing Canada...",Huawei CFO Charged With Conspiracy to Defraud Banks - Bloomberg,https://www.bloomberg.com/news/articles/2018-12-07/huawei-cfo-being-prosecuted-for-fraud-canada-lawyer-says,12/7/18,0.426,0.574,0,-0.6369
78,BK,The banking fraud is expanding as more lenders disclose exposure to the allegedly illegal transactions by Modi. Punjab National Bank last week said it detected the fraud at a single branch in the nation's...,"As Fraud Prompts Arrests, India Forms Panel to Avoid Scams",https://www.bloomberg.com/news/articles/2018-02-20/bank-fraud-prompts-india-to-set-up-panel-to-prevent-scams,2/20/18,0.679,0.321,0,-0.9136
81,BLK,"Bank of America Corp., the biggest U.S. lender, faces a new securities-fraud lawsuit filed by former Countrywide Financial Corp. investors including BlackRock Inc. that opted out of a $624 million...","BofA Sued by BlackRock, Calpers Over Countrywide Fraud Claims",https://www.bloomberg.com/news/articles/2011-07-28/bank-of-america-is-sued-by-countrywide-financial-investors-alleging-fraud,7/28/11,0.322,0.678,0,-0.5859
82,BLK,"Corporations backing away from those who cited election fraud. BlackRock, JPMorgan suspend all federal contributions for now.",US Companies Cut Off Donations to Republicans Who... - Bloomberg,https://www.bloomberg.com/news/articles/2021-01-11/dow-marriott-lead-boardroom-backlash-on-congress-vote-objectors,1/11/21,0.208,0.792,0,-0.2732
90,BRK-A,Berkshire Hathaway Inc. thinks it was duped. Berkshire Takes Tax Hit as Victim of 'Ponzi-Type' Solar Scheme. By.,Berkshire Hathaway Victim of 'Ponzi-Type' Solar Scheme - Bloomberg,https://www.bloomberg.com/news/articles/2019-05-08/berkshire-takes-tax-hit-as-victim-of-ponzi-type-solar-scheme,5/8/19,0.231,0.769,0,-0.2732
100,CG,Carlyle Group is the latest big name to emerge in a years-long attempt to untangle an elaborate nickel-trading fraud that ensnared major metals brokerages.,Carlyle Dragged Into $300 Million Hong Kong Nickel-Fraud Saga,https://www.bloomberg.com/news/articles/2019-08-28/carlyle-dragged-into-300-million-hong-kong-nickel-fraud-saga,8/28/19,0.13,0.87,0,-0.0516
108,CG,"Carlyle Group LP, the Washington-based buyout company that's preparing to go public, is seeking to bar its future shareholders from filing individual and class-action lawsuits.",Carlyle Seeks to Ban Shareholder Lawsuits Before Public... - Bloomberg,https://www.bloomberg.com/news/articles/2012-01-18/carlyle-seeks-to-ban-shareholder-lawsuits-before-initial-public-offering,1/18/12,0.426,0.574,0,-0.6369
112,CINF,"Cincinnati voters have (again) defeated a misguided attempt to block the city's new streetcar, which now will move forward and could be operational as early as 2013.",How Cincinnati Defeated the Streetcar Haters ... Again - Bloomberg,https://www.bloomberg.com/news/articles/2011-11-10/how-cincinnati-defeated-the-streetcar-haters-again,11/10/11,0.474,0.526,0,-0.743
115,CINF,"Yes, the shenanigans of Keating and other fraud artists cost taxpayers billions. But the sad fate of the thrift industry was largely sealed by the early 1980s, thanks to the double-digit inflation of the prior...",The S&L Collapse: Did Anyone Learn Anything? - Bloomberg,https://www.bloomberg.com/news/articles/1993-08-01/the-s-and-l-collapse-did-anyone-learn-anything,8/1/93,0.314,0.686,0,-0.4939
121,CME,"The cyberattack on CME Group Inc. last week, routed through Hong Kong, is reminding the financial services world of one of its most constant threats to business.",CME Hack Reawakens Electronic Threat to Financial... - Bloomberg,https://www.bloomberg.com/news/articles/2013-11-18/cme-hack-reawakens-electronic-threat-to-financial-services-firms,11/18/13,0.327,0.673,0,-0.5267
122,CME,"Existing fraud-fighting companies' business is blooming. Easy Solutions Inc. says sales of its product that helps banks and retailers monitor transactions grew 128 percent last year, up from a 75 percent...",Credit-Card Thieves Move Online as Chips Thwart In-Store Fraud,https://www.bloomberg.com/news/articles/2017-02-01/credit-card-thieves-move-online-as-chips-thwart-in-store-fraud,2/1/17,0.504,0.496,0,-0.7964
123,CME,"CME Group Inc., owner of the world's largest futures market, permanently barred three people from trading on its platforms, accusing them of rules violations, including a form of market manipulation...",CME Group Permanently Bars Three Traders for Exchange Violations,https://www.bloomberg.com/news/articles/2015-10-12/cme-group-permanently-bars-three-traders-for-exchange-violations,10/12/15,0.298,0.702,0,-0.5267
132,CNO,"Proponents of those revisions argue they are necessary to deter voter fraud. The bill, known as S 1 in the Senate, is unlikely to get the 60 votes needed to overcome a filibuster in that chamber, as most...",Chamber of Commerce Urges Senators to Reject Voting... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-14/chamber-of-commerce-urges-senators-to-reject-voting-rights-bill,4/14/21,0.252,0.748,0,-0.4019
134,CNO,"Prosecutors said money from the fraud funded a lavish lifestyle in suburban Los Angeles that included a Lamborghini and other luxury cars, designer clothing and fine food and drinks.","""Sour Grapes"" Wine Fraud Con Man Deported to Indonesia - Bloomberg",https://www.bloomberg.com/news/articles/2021-04-14/-sour-grapes-wine-fraud-con-man-deported-to-indonesia,4/14/21,0.297,0.703,0,-0.5859
136,CNO,"Existing fraud-fighting companies' business is blooming. Easy Solutions Inc. says sales of its product that helps banks and retailers monitor transactions grew 128 percent last year, up from a 75 percent...",Credit-Card Thieves Move Online as Chips Thwart In-Store Fraud,https://www.bloomberg.com/news/articles/2017-02-01/credit-card-thieves-move-online-as-chips-thwart-in-store-fraud,2/1/17,0.504,0.496,0,-0.7964
138,CNO,"Growing panic over the financial health of one of China's largest bad-debt managers spilled into the broader market, as traders circulated a Caixin report that openly considered the worst-case scenario...",China Huarong's Worsening Bond Rout Stokes Market... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-13/china-huarong-s-deepening-bond-rout-pushes-yield-to-record-23,4/13/21,0.3,0.7,0,-0.4588
140,DFS,Fleischmann is a victim of click fraud: a dizzying collection of scams and deceptions that inflate advertising bills for thousands of companies of all sizes. The spreading scourge poses the single...,Click Fraud - Bloomberg | The dark side of online advertising,https://www.bloomberg.com/news/articles/2006-10-01/click-fraud,10/1/06,0.322,0.678,0,-0.5859
144,DFS,"Authorities said they discovered 200 million yuan there. Expensive real estate, luxury watches, art, gold - the list of Lai's Singapore Trader's Lavish Lifestyle Allegedly Fueled By $740 Million Fraud.",China's Very Bad Bank: Inside the Huarong Debt Debacle - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-15/china-s-very-bad-bank-inside-the-huarong-debt-debacle,4/15/21,0.44,0.56,0,-0.7425
146,DFS,"It takes time to discover that fraud occurred, let alone develop a case. Even the Securities & Exchange Commission, with its subpoena powers, needed more than three years from the time the alleged...",Don't Shorten The Deadline On Investors' Lawsuits - Bloomberg,https://www.bloomberg.com/news/articles/1992-01-12/dont-shorten-the-deadline-on-investors-lawsuits,1/12/92,0.186,0.814,0,-0.1531
150,FAF,"The first fraud prosecution involving initial coin offerings ended in a guilty plea when a New York man admitted lying to about 1,000 investors. Maksim Zaslavskiy, 39, told a judge he sought to raise money...",First Initial Coin Offering Fraud Case Ends in Guilty Plea - Bloomberg,https://www.bloomberg.com/news/articles/2018-11-15/first-fraud-case-for-initial-coin-offering-set-for-guilty-plea,11/15/18,0.423,0.577,0,-0.765
152,FAF,Russia said it found the world's first cases of the H5N8 strain of avian influenza in humans though the virus isn't yet spreading between people. Authorities have sent information on the seven cases...,Russia Reports First Cases of H5N8 Bird Flu in Humans - Bloomberg,https://www.bloomberg.com/news/articles/2021-02-20/russia-reports-first-cases-of-h5n8-bird-flu-in-humans-kldwj8sh,2/20/21,0.206,0.794,0,-0.3818
153,FAF,Fleischmann is a victim of click fraud: a dizzying collection of scams and deceptions that inflate The growing ranks of businesspeople worried about click fraud typically have no complaint about versions...,Click Fraud - Bloomberg | The dark side of online advertising,https://www.bloomberg.com/news/articles/2006-10-01/click-fraud,10/1/06,0.322,0.678,0,-0.5859
154,FAF,"Prosecutors said money from the fraud funded a lavish lifestyle in suburban Los Angeles that included a Lamborghini and other luxury cars, designer clothing and fine food and drinks.","""Sour Grapes"" Wine Fraud Con Man Deported to Indonesia - Bloomberg",https://www.bloomberg.com/news/articles/2021-04-14/-sour-grapes-wine-fraud-con-man-deported-to-indonesia,4/14/21,0.297,0.703,0,-0.5859
155,FAF,First Executive. The list of notorious financial frauds and scandals in recent years goes on and on. It looks great--on paper. But will auditors really detect more frauds? Some are skeptical that the new...,Will new auditing standards serve to detect fraud sooner? - Bloomberg,https://www.bloomberg.com/news/articles/1996-12-08/bean-counters-get-an-early-warning-system,12/8/96,0.297,0.703,0,-0.5859
156,FAF,"Chances are, your card provider will be the first to notice fraud after the company computer detects ""unusual call activity,"" and it Better, though, to prevent those calls from being made in the first place.",How To Foil Phone Card Fraud - Bloomberg,https://www.bloomberg.com/news/articles/1994-11-20/how-to-foil-phone-card-fraud,11/20/94,0.388,0.612,0,-0.5859
157,FAF,"For vendors, settlement would happen almost immediately, without having to wait for the money or worry about fraud. The U.S. effort got an extra push last month, when Treasury Secretary Janet...",Federal Reserve's Digital Dollar Push Worries Wall Street - Bloomberg,https://www.bloomberg.com/news/articles/2021-03-22/federal-reserve-s-digital-dollar-momentum-worries-wall-street,3/22/21,0.259,0.741,0,-0.4215
158,FAF,"When the fraud was finally exposed in mid-1994, the bottom dropped out of Kurzweil's stock. With the IPO planned for the summer of 1993, the first quarter of the new fiscal year would be the final one...",Anatomy Of The Kurzweil Fraud - Bloomberg,https://www.bloomberg.com/news/articles/1996-09-15/anatomy-of-the-kurzweil-fraud,9/15/96,0.432,0.568,0,-0.5859
160,FCNCA,"The first fraud prosecution involving initial coin offerings ended in a guilty plea when a New York man admitted lying to about 1,000 investors. Maksim Zaslavskiy, 39, told a judge he sought to raise money...",First Initial Coin Offering Fraud Case Ends in Guilty Plea - Bloomberg,https://www.bloomberg.com/news/articles/2018-11-15/first-fraud-case-for-initial-coin-offering-set-for-guilty-plea,11/15/18,0.423,0.577,0,-0.765
162,FCNCA,Russia said it found the world's first cases of the H5N8 strain of avian influenza in humans though the virus isn't yet spreading between people. Authorities have sent information on the seven cases...,Russia Reports First Cases of H5N8 Bird Flu in Humans - Bloomberg,https://www.bloomberg.com/news/articles/2021-02-20/russia-reports-first-cases-of-h5n8-bird-flu-in-humans-kldwj8sh,2/20/21,0.206,0.794,0,-0.3818
163,FCNCA,Fleischmann is a victim of click fraud: a dizzying collection of scams and deceptions that inflate The growing ranks of businesspeople worried about click fraud typically have no complaint about versions...,Click Fraud - Bloomberg | The dark side of online advertising,https://www.bloomberg.com/news/articles/2006-10-01/click-fraud,10/1/06,0.322,0.678,0,-0.5859
164,FCNCA,"Prosecutors said money from the fraud funded a lavish lifestyle in suburban Los Angeles that included a Lamborghini and other luxury cars, designer clothing and fine food and drinks.","""Sour Grapes"" Wine Fraud Con Man Deported to Indonesia - Bloomberg",https://www.bloomberg.com/news/articles/2021-04-14/-sour-grapes-wine-fraud-con-man-deported-to-indonesia,4/14/21,0.297,0.703,0,-0.5859
165,FCNCA,First Executive. The list of notorious financial frauds and scandals in recent years goes on and on. It looks great--on paper. But will auditors really detect more frauds? Some are skeptical that the new...,Will new auditing standards serve to detect fraud sooner? - Bloomberg,https://www.bloomberg.com/news/articles/1996-12-08/bean-counters-get-an-early-warning-system,12/8/96,0.297,0.703,0,-0.5859
166,FCNCA,"Chances are, your card provider will be the first to notice fraud after the company computer detects ""unusual call activity,"" and it Better, though, to prevent those calls from being made in the first place.",How To Foil Phone Card Fraud - Bloomberg,https://www.bloomberg.com/news/articles/1994-11-20/how-to-foil-phone-card-fraud,11/20/94,0.388,0.612,0,-0.5859
167,FCNCA,"For vendors, settlement would happen almost immediately, without having to wait for the money or worry about fraud. The U.S. effort got an extra push last month, when Treasury Secretary Janet...",Federal Reserve's Digital Dollar Push Worries Wall Street - Bloomberg,https://www.bloomberg.com/news/articles/2021-03-22/federal-reserve-s-digital-dollar-momentum-worries-wall-street,3/22/21,0.259,0.741,0,-0.4215
168,FCNCA,"When the fraud was finally exposed in mid-1994, the bottom dropped out of Kurzweil's stock. With the IPO planned for the summer of 1993, the first quarter of the new fiscal year would be the final one...",Anatomy Of The Kurzweil Fraud - Bloomberg,https://www.bloomberg.com/news/articles/1996-09-15/anatomy-of-the-kurzweil-fraud,9/15/96,0.432,0.568,0,-0.5859
170,FITB,— With assistance by Deirdre Hipwell. (Updates with WHO statement in fifth paragraph.) Have a confidential tip for our reporters? Get in touch.,Russia Reports First Cases of H5N8 Bird Flu in Humans - Bloomberg,https://www.bloomberg.com/news/articles/2021-02-20/russia-reports-first-cases-of-h5n8-bird-flu-in-humans-kldwj8sh,2/20/21,0.206,0.794,0,-0.3818
171,FITB,"At issue is why the regulator took actions that benefited the member of Germany's benchmark DAX Index, including the short-selling ban, but failed to detect the fraud after multiple warnings.",Wirecard: Bafin Faces Criminal Probe Over Wirecard... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-12/bafin-faces-criminal-probe-over-wirecard-supervision-trading?sref=zNmRQ0gk,4/12/21,0.327,0.673,0,-0.5267
173,FITB,"Prosecutors said money from the fraud funded a lavish lifestyle in suburban Los Angeles that included a Lamborghini and other luxury cars, designer clothing and fine food and drinks.","""Sour Grapes"" Wine Fraud Con Man Deported to Indonesia - Bloomberg",https://www.bloomberg.com/news/articles/2021-04-14/-sour-grapes-wine-fraud-con-man-deported-to-indonesia,4/14/21,0.297,0.703,0,-0.5859
174,FITB,"Strengthening tax-reporting requirements and the regulations overseeing tax-return preparers would help the IRS stop fraud and close the tax gap, Rettig said. About 99% of taxes are paid to the IRS...",Tax Evasion: Cheats Are Costing the US About $1 Trillion... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-13/tax-cheats-are-costing-u-s-1-trillion-a-year-irs-estimates,4/13/21,0.219,0.781,0,-0.4215
